MG1,JK1,PK3,sP1R,P5S1,P4B2,P2S1,P4S1,JK2,P4S3,MC2,P4WF,PK1,P5WF,fP2R,P5S2,JK3,fP1R,P3WF,MG2,P4S2,sP2R,P2WF,P3S1,MG3,PK2,sP3R,MC3,MC1,fP3R
MEG_6053|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM,0,0,2254.0,5556.0,0,0,1326.0,5848.0,3787.0,31548.0,0,0,0,0,7516.0,5128.0,2914.0,2104.0,0,6332.0,2813.0,4228.0,4765.0,0,0,2636.0,3894.0,0,0,5151.0
MEG_1122|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA,0,1112.0,1543.0,3265.0,1625.0,0,0,0,2883.0,0,0,0,609.0,0,2146.0,3161.0,2138.0,0,0,3866.0,0,1613.0,1581.0,0,0,2478.0,2215.0,0,0,3538.0
MEG_7320|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,922.0,2494.0,5178.0,7415.0,3102.0,0,2302.0,7082.0,4913.0,22854.0,835.0,0,826.0,0,47472.0,6997.0,3511.0,15355.0,258.0,6946.0,5417.0,21170.0,8726.0,1121.0,2980.0,4934.0,7093.0,0,1074.0,12025.0
MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,0,0,0,0,0
MEG_2136|Metals|Copper_resistance|Copper_resistance_regulator|CSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
MEG_3890|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,0,0,0,0,0,0,221.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,434.0,68.0,0,0,0,0,0,0
MEG_5844|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,93.0,0,0,0,0,0,0,57.0
MEG_4739|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1630|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
MEG_5751|Drugs|betalactams|Class_A_betalactamases|PENA,0,0,0,1102.0,0,0,0,0,910.0,0,0,0,0,0,0,0,0,0,0,1100.0,0,0,0,0,0,710.0,0,0,0,0
MEG_4033|Drugs|MLS|Macrolide_phosphotransferases|MPHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0
MEG_4204|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0,0,0,0,0,0,0,0
MEG_3869|Metals|Mercury_resistance|Mercury_resistance_protein|MERF,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,18.0,11.0,13.0,0,0,0,0,0,0,0
MEG_7079|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.0
MEG_6957|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,0,0,0,0,0,0,0
MEG_5805|Drugs|betalactams|Class_B_betalactamases|POM,0,0,0,457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7023|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0,0,0,1566.0,0,0,0,0,1138.0,0,0,0,0,0,0,0,731.0,0,0,1404.0,0,1038.0,0,0,0,0,1214.0,0,0,0
MEG_2007|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRA,0,0,0,530.0,0,0,0,0,478.0,0,0,0,0,0,0,0,237.0,0,0,0,0,0,0,0,0,332.0,0,0,0,0
