Taxa,Max.Rel.Ab,Mean.Rel.Ab,Median.Rel.Ab,Std.dev
Bradyrhizobium sp001908205,0.000601413663390365,9.99531456889027e-05,0,0.000195023521817138
Roseivirga seohaensis,1.24008779738933e-05,9.98784932664158e-07,0,2.53661785106609e-06
Arctic96AD-7 sp002685535,0.00010952284046892,9.9854306398448e-06,8.85350325252902e-07,2.17966706914982e-05
2-12-FULL-68-20 sp001770655,0.000858969654682031,9.98169767812647e-05,8.70063648968216e-07,0.000233233728737489
Duganella sp001423125,4.37052137261415e-05,9.97809420273572e-06,1.30071248837045e-06,1.47410828578073e-05
Desulfosporosinus sp000765145,0.000100393570395558,9.9744048037331e-06,0,2.48319003961902e-05
AV80 sp003169695,0.00142477171141814,9.9688234266552e-05,0,0.000314963186402797
Pectobacterium carotovorum,2.18029832486024e-05,9.96784458726543e-07,0,4.12825987856295e-06
Paracoccus zhejiangensis,0.000914068769149548,9.96719906868003e-05,2.91470055602999e-05,0.000196300689067215
Microbacterium sp001898325,0.000124073340131776,9.96194936947202e-06,0,2.95154882522554e-05
Bernardetia sp002784125,0.000144573569045639,9.96163557192144e-06,0,2.97621011040066e-05
Bacteroides_B massiliensis,0.000121668267443872,9.96069783081542e-06,0,2.71142959031752e-05
Leptospira_A sp003114815,0.000228311493060729,9.95346067264919e-06,0,4.37946726164186e-05
Methylotenera sp000744605,6.09296471117291e-05,9.94296738813897e-06,0,1.83904910234685e-05
Algibacter_A alginicilyticus,0.000118972544606737,9.93364795245335e-06,0,2.69878108026406e-05
Roseomonas rosea,3.71617522145371e-05,9.92986072133666e-06,3.21593354913918e-06,1.22176563823587e-05
Leisingera sp000813745,1.45353221657349e-05,9.92711610945525e-07,0,2.84561536136106e-06
Bog-105 sp003169195,9.7834000728067e-05,9.92553738027881e-06,0,1.99995136564543e-05
Oleibacter sp002724925,0.00011051197182584,9.91629472751673e-06,0,2.50532789811065e-05
Oceanibaculum indicum,0.000173612291634506,9.91252178519305e-06,0,3.30414438746825e-05
Wenxinia saemankumensis,0.000257897974152908,9.91027333844965e-06,0,4.86176211641181e-05
Flavobacterium sp002715085,0.000122385158881509,9.90502785661702e-06,0,2.47560194060077e-05
Algoriphagus marincola,0.0021601916067923,9.9018835713008e-05,0,0.00040595907447077
PALSA-1444 sp003153295,0.000242162929149937,9.90141030456221e-06,0,4.55904871173709e-05
Pseudomonas_A sp003205815,0.000100008991323271,9.89683131337645e-06,0,2.38557093490939e-05
Serratia proteamaculans_B,8.15787400029959e-05,9.89012281315317e-06,0,2.3010415600526e-05
Rhodoplanes sp000293785,0.000109842049913036,9.88382652746782e-06,0,2.43255323193662e-05
Bradyrhizobium sp000244915,0.00101036970605692,9.87619252114041e-05,0,0.000242939675384017
Brevefilum sp002436005,0.00262969477936142,9.87493743050892e-05,0,0.000496212672469408
Streptomyces varsoviensis,0.000153336008408038,9.87391520909391e-06,0,3.6486416334086e-05
Syntrophomonas wolfei_A,0.000104209911013002,9.86242216341763e-06,0,2.4447664577763e-05
Olleya marilimosa,0.000138190292019692,9.8607066219854e-06,0,2.77279275428137e-05
Glutamicibacter sp002332285,0.000225949305889923,9.85635814590151e-06,0,4.26098227588328e-05
Sphingopyxis_A sp002683755,0.000166224618779363,9.85625997048885e-06,0,3.16478949337578e-05
Rhodobacter_D sp002421605,4.66166572021753e-05,9.84216901986782e-06,4.89109648376362e-06,1.33063611570074e-05
UBA6107 sp002428455,0.00252041630030017,9.84007627874092e-05,0,0.000475233605209721
Niastella koreensis,0.000240101951399946,9.83936876273817e-06,0,4.52245021837783e-05
Methylotenera mobilis,0.000143602166937684,9.83670122630791e-06,0,2.78461521166863e-05
UBA2386 sp002343845,0.0011588610408941,9.83536065912129e-05,3.5503830164212e-05,0.000224145702487752
UBA1351 sp002342805,0.00198613596155532,9.83166637984559e-05,0,0.000382671960332198
