"aggTaxo","Hot Spring wells","Poopó River","Sora Sora River","Tagarete River"
"Acidobacteriaceae",713.77795819569,0,133733.641158302,2.69336611613066
"Aeromonadaceae",136.283098152613,35200.4708574495,2040.82350952513,62163.4096100579
"Arcobacteraceae",121.941890584439,20707.6393791111,1924.22268478872,125140.013722093
"Burkholderiaceae",29371.2295906761,456819.854604392,205279.110974546,240407.595164583
"Clostridiaceae",194817.113941746,2976.48323581359,4426.95000505498,65477.4286755101
"DSM-18226",479442.174047736,73.9647704935744,253.662195767401,132.698479695015
"Dysgonomonadaceae",92.3559195659573,51.840366136656,1642.6783901434,108544.211837916
"Enterobacteriaceae",1685.42265695928,17161.4922215138,4967.20902857401,66206.1643287861
"Exiguobacteraceae",98059.8363112923,346.251237034301,274.769399572525,2102.31087562222
"Flavobacteriaceae",503215.333836446,155598.81592963,8564.2921069729,101462.204466339
"Microbacteriaceae",10620.834533348,103556.185320755,5987.68631539033,3988.63650615198
"Micrococcaceae",9398.24723172573,63429.9440388527,2827.14917936772,35049.7738955861
"Moraxellaceae",96776.9778854781,109355.231466195,4518.4258076014,130024.599297382
"Others",807080.712210031,502239.689600692,849691.868456168,756737.396223201
"Planococcaceae",92465.011235285,369.038667547872,287.643064116073,5204.67416861975
"Pseudomonadaceae",689929.412822761,56741.8531183506,4953.69161006145,122296.989585589
"RAAP-2",943.342835023828,453.127031125622,210988.749662805,53.2844002907492
"Rhodanobacteraceae",10049.5393446486,32644.0947738395,520853.679524809,447.824474487332
"Rhodobacteraceae",765473.263075073,153771.207753828,4508.48958382896,109875.169380629
"Rhodocyclaceae",5995.9787345913,46006.1389020296,16497.2884677557,45981.2075142616
"Sphingomonadaceae",203611.210840679,242496.67672521,15777.968874849,18701.7140270822
