"aggTaxo","Hot Spring wells","Poopó River","Sora Sora River","Tagarete River"
"Acinetobacter",335.191537343407,102969.979050318,3595.77695803862,58888.5691598798
"Albidovulum",90983.5130381092,8866.06529394012,85.5272750726914,3643.18450318538
"Aliarcobacter",109.264006173599,20244.5333036138,1922.72363696516,123517.411172545
"Clostridium_J",152192.573468975,2708.29487729371,113.55619054065,114.312780345813
"Erythrobacter",146714.529565064,73303.7309251909,1601.79073022489,10638.9547373492
"Exiguobacterium",98026.7773382723,324.247405804114,185.208676111396,2057.38198187607
"Flavobacterium",3451.79118344549,88456.3729355374,7302.01568752325,30874.3149108081
"Giesbergeria",683.474549511506,78984.5564262685,413.28292741947,150444.573014232
"Mesobacillus",476063.58403536,44.6975386631313,206.176172744364,131.998017373718
"Metallibacterium",235.119778483297,605.287552076122,224764.492620687,26.8714882219128
"Others",1659013.58239766,1304797.21900655,1090690.02114277,1423029.55676205
"Paracoccus",149433.099816197,10272.673070869,1724.81353087588,15915.5969805719
"Polaromonas",14.5237080145391,218450.784682732,317.084999154683,149.892032759384
"Pseudomonas_A",676802.684993071,6292.52678241048,2453.72734297266,31932.7146751721
"Pseudomonas_E",9912.93981017167,46663.6933712907,1520.38289718011,76409.8820580816
"Psychrobacter",96366.0046828679,5589.46023872441,706.2774470353,70775.8820988797
"RAAP-2",605.562526546404,453.127031125622,207631.185859337,53.2844002907492
"Rhodanobacter",2690.69242473464,16244.7694636107,272209.984990691,63.1073459088882
"Salegentibacter",272516.819273224,156.079895655435,168.146170422798,670.129884629317
"Salinimicrobium",161613.444072423,149.469015381273,79.1124445213591,604.943699814843
"Thiomonas",2234.82779435529,14422.4321329404,182308.712299711,57.4382960243288
