"aggTaxo","Hot Spring wells","Poopó River","Sora Sora River","Tagarete River"
"Acinetobacter",1e-04,0.0515,0.0018,0.0294
"Albidovulum",0.0227,0.0044,0,0.0018
"Aliarcobacter",0,0.0101,0.001,0.0618
"Clostridium_J",0.038,0.0014,1e-04,1e-04
"Erythrobacter",0.0367,0.0367,8e-04,0.0053
"Exiguobacterium",0.0245,2e-04,1e-04,0.001
"Flavobacterium",9e-04,0.0442,0.0037,0.0154
"Giesbergeria",2e-04,0.0395,2e-04,0.0752
"Mesobacillus",0.119,0,1e-04,1e-04
"Metallibacterium",1e-04,3e-04,0.1124,0
"Others",0.4148,0.6524,0.5453,0.7115
"Paracoccus",0.0374,0.0051,9e-04,0.008
"Polaromonas",0,0.1092,2e-04,1e-04
"Pseudomonas_A",0.1692,0.0031,0.0012,0.016
"Pseudomonas_E",0.0025,0.0233,8e-04,0.0382
"Psychrobacter",0.0241,0.0028,4e-04,0.0354
"RAAP-2",2e-04,2e-04,0.1038,0
"Rhodanobacter",7e-04,0.0081,0.1361,0
"Salegentibacter",0.0681,1e-04,1e-04,3e-04
"Salinimicrobium",0.0404,1e-04,0,3e-04
"Thiomonas",6e-04,0.0072,0.0912,0
