"aggTaxo","Hot Spring wells","Poopó River","Sora Sora River","Tagarete River"
"Acidobacteriota",32062.2684990751,2965.38689376384,211439.998508267,1675.31981893703
"Actinobacteriota",81119.0237793969,229762.118306324,351779.077084776,210365.184877585
"Armatimonadota",45264.6834017511,376.191793503356,630.400183493818,102.133353093627
"Bacteroidota",574296.154703297,266765.913120059,121262.701594262,297210.767090586
"Calescibacterota",17603.0478310641,26.8083670179357,7.54188649940336,0
"Campylobacterota",125.125878441455,22130.4540244116,1961.02640051244,131251.559887891
"Chloroflexota",70436.6970555435,2864.3660601038,6218.41535809216,56810.8687856106
"CSP1-3",38249.1256954007,35.0352264247641,1586.914024313,0
"Cyanobacteria",66802.7562659612,30898.3476956036,1272.97733451358,28699.4752365737
"Deinococcota",29837.7379697145,66.0114936905616,63.2363313472033,799.919587372321
"Desulfobacterota",36754.9028498506,2282.7133290502,6321.69219500613,24592.7839319244
"Desulfobacterota_F",1498.63192849276,2939.31630938802,3808.51249010334,63033.1419987511
"Firmicutes",772218.592000397,20586.1918739287,18814.084920369,59777.6735347701
"Firmicutes_A",224096.466448447,9942.83684690374,65595.9624894376,132109.4139934
"Firmicutes_B",1371.31933040144,1171.72990354078,53719.8922589087,2642.44995575432
"Halobacteriota",6082.32413776767,498.574606514506,73.3769732732008,15771.6866717927
"Nitrospirota",180.408065161347,9950.49065464765,6273.06837086566,593.911276567887
"Others",15082.6522870333,24599.7274167801,78313.6104115692,34165.6582068521
"Planctomycetota",10244.8702724036,4989.74907179726,2584.05396163291,32153.6493037921
"Proteobacteria",1973029.84836965,1344974.09126,1044780.26405519,905030.225545556
"Verrucomicrobiota",3643.36323074601,22173.9457465473,23493.1931675662,3214.17694318944
