"aggTaxo","Hot Spring wells","Poopó River","Sora Sora River","Tagarete River"
"Albidovulum denitrificans",61006.2021733098,5443.21990876301,40.1032342585935,139.810135066267
"Aliarcobacter cryaerophilus_A",56.6911000045839,7813.11295056721,978.721052766151,55300.3332363635
"Clostridium_J sulfidigenes",149236.440793729,2641.38413071934,111.244981639723,97.8788566538546
"Exiguobacterium mexicanum",53850.7853099514,164.242549139496,127.278213919981,1154.81598467052
"Giesbergeria sp001770955",256.124113693456,36076.7291669672,112.060839042078,97840.7980032354
"Mesobacillus subterraneus",447037.586616569,44.6975386631313,205.652880163022,16.2477674702887
"Metallibacterium scheffleri",235.119778483297,605.287552076122,224758.522725353,26.8714882219128
"Others",2141735.91759301,1697772.44150447,1525422.07390761,1717127.62008617
"Paracoccus sp002294185",84290.7798362634,686.830914398803,376.245587715335,48.1156420256131
"Polaromonas sp002256925",10.4361199397236,211610.232561257,114.142120287579,1.99333563584009
"Proteiniclasticum sp009930125",39564.6806199342,78.4767123502065,75.4796583238069,48890.5199357178
"Pseudomonas_A sp004010935",571004.658375393,1130.86514371068,1288.89282855905,140.889007225996
"Pseudomonas_E fluvialis",74.1690241549878,27305.3501371727,42.6349908827535,46381.704331452
"Psychrobacillus psychrodurans",61891.5265511767,0,26.1405726679245,4.68240642340876
"Psychrobacter sp001652315",45156.8340302997,3615.63426030199,517.298290796497,32515.6274650343
"RAAP-2 sp002255315",55.5840353063277,72.8666467592798,63301.36622355,2.36807209671479
"Rhodanobacter sp004322005",85.4787492293616,1053.62034589595,124026.733897543,2.75283868473345
"Salegentibacter mishustinae",101548.882242983,78.4020005968806,107.357285142976,106.783452226829
"Salegentibacter salarius",100630.286972358,30.9762672657975,30.0454461259724,22.6396200009665
"Salinimicrobium sediminis",141076.557672978,125.969778145151,71.4288981810241,174.025819813272
"Thiomonas delicata",1195.25829123171,3649.65993077814,58266.5763654687,3.52251580777278
