"aggTaxo","Hot Spring wells","Poopó River","Sora Sora River","Tagarete River"
"Albidovulum denitrificans",0.0153,0.0027,0,1e-04
"Aliarcobacter cryaerophilus_A",0,0.0039,5e-04,0.0277
"Clostridium_J sulfidigenes",0.0373,0.0013,1e-04,0
"Exiguobacterium mexicanum",0.0135,1e-04,1e-04,6e-04
"Giesbergeria sp001770955",1e-04,0.018,1e-04,0.0489
"Mesobacillus subterraneus",0.1118,0,1e-04,0
"Metallibacterium scheffleri",1e-04,3e-04,0.1124,0
"Others",0.5354,0.8489,0.7627,0.8586
"Paracoccus sp002294185",0.0211,3e-04,2e-04,0
"Polaromonas sp002256925",0,0.1058,1e-04,0
"Proteiniclasticum sp009930125",0.0099,0,0,0.0244
"Pseudomonas_A sp004010935",0.1428,6e-04,6e-04,1e-04
"Pseudomonas_E fluvialis",0,0.0137,0,0.0232
"Psychrobacillus psychrodurans",0.0155,0,0,0
"Psychrobacter sp001652315",0.0113,0.0018,3e-04,0.0163
"RAAP-2 sp002255315",0,0,0.0317,0
"Rhodanobacter sp004322005",0,5e-04,0.062,0
"Salegentibacter mishustinae",0.0254,0,1e-04,1e-04
"Salegentibacter salarius",0.0252,0,0,0
"Salinimicrobium sediminis",0.0353,1e-04,0,1e-04
"Thiomonas delicata",3e-04,0.0018,0.0291,0
