intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
15000,3.3990644415031205e-06,0.03588516746411483,3.3990644415031205e-06,4.3191421587928894e-05,15.466666666666667,4.0,26.071355077087105,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857805.1 uncultured human fecal virus, ASM185780v1",6d148185545481a0af8705f33ddaae4d,0.03588516746411483,15000,0,60000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6661809946903159,0.8982233777486982,0.782202186219507,0.8982233777486982,False,232,232,5371437
7000,1.5862300727014563e-06,0.03910614525139665,1.5862300727014563e-06,1.6755292857386207e-06,1.2857142857142858,1.0,0.45175395145262565,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002956635.1 Campylobacter phage A11a, ASM295663v1",4d6e8acadae4735629d80bae0a69ee36,0.03910614525139665,7000,1,53000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6500025165186325,0.9007173920799981,0.7753599542993153,0.9007173920799981,False,9,241,5371437
2000,4.532085922004161e-07,0.024691358024691357,4.532085922004161e-07,3.7233984127524904e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_013317075.1 Escherichia phage CMS-2020a, ASM1331707v1",cd4ffe574b46bc7e0a74041db0fcfdf9,0.024691358024691357,2000,2,51000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,2,243,5371437
2000,4.532085922004161e-07,8.382580996688881e-05,4.532085922004161e-07,3.7233984127524904e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003165.1 uncultured marine virus, ASM200316v1",ebbedbb39603c34982423f706f6a4527,8.382580996688881e-05,2000,3,49000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6242584877529134,0.738747555338536,0.6815030215457247,0.738747555338536,True,2,245,5371437
2000,4.532085922004161e-07,0.030303030303030304,4.532085922004161e-07,3.7233984127524904e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000895295.1 Pseudomonas virus PMG1, ViralProj82649",0b40a981874668a4140621855ca9300e,0.030303030303030304,2000,4,47000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,2,247,5371437
2000,4.532085922004161e-07,6.80133306128001e-05,4.532085922004161e-07,5.585097619128736e-07,1.5,1.5,0.5,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003145.1 uncultured marine virus, ASM200314v1",b7389bd607efa11f6cb82d2130f7f272,6.80133306128001e-05,2000,5,45000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6242584877529134,0.7337828374545753,0.6790206626037443,0.7337828374545753,True,3,250,5371437
6000,1.3596257766012483e-06,0.00819672131147541,4.532085922004161e-07,5.585097619128736e-07,1.5,1.5,0.5,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857825.1 uncultured human fecal virus, ASM185782v1",34484b9f9af03ab9bc48c34e2c55e8c8,0.02459016393442623,2000,6,43000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6467783352608321,0.8873379953801938,0.7670581653205129,0.8873379953801938,True,3,253,5371437
1000,2.2660429610020804e-07,0.008264462809917356,2.2660429610020804e-07,9.308496031881226e-07,5.0,5.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_021461835.1 Bovine alphaherpesvirus 2 strain=C1Z FZR, ASM2146183v1",8ebff13636684f5841f9d1c650599d2e,0.008264462809917356,1000,7,42000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6104552188836672,0.8566696383930442,0.7335624286383557,0.8566696383930442,True,5,258,5371437
1000,2.2660429610020804e-07,0.023809523809523808,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001882095.1 Salmonella phage 118970_sal3, ViralProj353688",2327fc7c0c11bbb8b806442a0aa21b2b,0.023809523809523808,1000,8,41000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,259,5371437
1000,2.2660429610020804e-07,0.01818181818181818,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_012940485.1 Marine virus AFVG_250M23, ASM1294048v1",277756109ebc6df6d6c4281cca4ee38d,0.01818181818181818,1000,9,40000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,260,5371437
1000,2.2660429610020804e-07,0.008403361344537815,2.2660429610020804e-07,1.1170195238257473e-06,6.0,6.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000838125.1 Culex nigripalpus nucleopolyhedrovirus, ViralProj14128",b11131f6da590c0bbc26c61db3d52ba4,0.008403361344537815,1000,10,39000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6104552188836672,0.8571303479677823,0.7337927834257247,0.8571303479677823,True,6,266,5371437
1000,2.2660429610020804e-07,0.0294117647058824,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002627185.1 Salmonella phage vB_SalP_PM43, ASM262718v1",42e6ba75df2edf83a062c9b315eb39ef,0.0294117647058824,1000,11,38000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,267,5371437
1000,2.2660429610020804e-07,0.010869565217391304,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_015161205.1 crAssphage cr7_1, ASM1516120v1",13724afb55237b255285777d4bb52e47,0.010869565217391304,1000,12,37000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,268,5371437
1000,2.2660429610020804e-07,0.003278688524590164,2.2660429610020804e-07,5.585097619128736e-07,3.0,3.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003093455.1 Paramecium bursaria Chlorella virus OR0704.2.2, ASM309345v1",3fdf8829fdbdd25c9be9a03673bdee8c,0.003278688524590164,1000,13,36000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6104552188836672,0.8314981657188272,0.7209766923012472,0.8314981657188272,True,3,271,5371437
1000,2.2660429610020804e-07,0.027027027027027032,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000903395.1 Enterobacteria phage IME10, ViralProj181235",af864914f6f7faf6e18ae9d7a9c1fbc9,0.027027027027027032,1000,14,35000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,272,5371437
1000,2.2660429610020804e-07,0.07692324966770896,2.2660429610020804e-07,2.4388259603528813e-05,131.0,131.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002219585.1 Ailuropoda melanoleuca papillomavirus 1 strain=gpam001, ViralProj394300",d509accfe8e5623337e7ca86ba9329e6,0.07692324966770896,1000,15,34000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,131,403,5371437
1000,2.2660429610020804e-07,0.027027027027027032,2.2660429610020804e-07,5.585097619128736e-07,3.0,3.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002606465.1 Moraxella phage Mcat4, ASM260646v1",762ef5140a0e88b21b6c809751d9dc40,0.027027027027027032,1000,16,33000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,3,406,5371437
1000,2.2660429610020804e-07,0.014084507042253521,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_020474725.1 Bacteroides phage LoVEphage, ASM2047472v1",9d57958ceacd5947afa9f7a516231093,0.014084507042253521,1000,17,32000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,407,5371437
1000,2.2660429610020804e-07,0.011494252873563218,2.2660429610020804e-07,3.7233984127524904e-07,2.0,2.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_004028855.1 Cyanobacteria phage AS-1, ASM402885v1",2d260a043c5abf8dd840c810b87847bc,0.011494252873563218,1000,18,31000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,2,409,5371437
1000,2.2660429610020804e-07,0.02,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_020485915.1 Salmonella phage seszw, ASM2048591v1",86b6271cd72c4c0c89c4d937c39c71b3,0.02,1000,19,30000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,410,5371437
1000,2.2660429610020804e-07,0.006993006993006993,2.2660429610020804e-07,3.164888650839617e-06,17.0,17.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003093875.1 Synechococcus phage S-B64, ASM309387v1",92d87149185ba136c298e50f9c1c851e,0.006993006993006993,1000,20,29000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6104552188836672,0.8520655979083449,0.731260408396006,0.8520655979083449,True,17,427,5371437
1000,2.2660429610020804e-07,0.014285714285714285,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902983355.1 freshwater metagenome, UFOv-Jr-25may17-C445",50a1ee67229868c383a9a5a8bbf35391,0.014285714285714285,1000,21,28000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,428,5371437
3000,6.798128883006242e-07,0.0043859649122807015,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857745.1 uncultured human fecal virus, ASM185774v1",0fd2345f9f01f8c0fa5b9a2cf69b12c6,0.013157894736842105,1000,22,27000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6324771196016828,0.8696181467256326,0.7510476331636577,0.8696181467256326,True,1,429,5371437
1000,2.2660429610020804e-07,0.021739130434782608,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_022516655.1 Escherichia phage 1W, ASM2251665v1",8415e6d0d160b1c7afd291bdcd5298c5,0.021739130434782608,1000,23,26000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,430,5371437
1000,2.2660429610020804e-07,0.0029940119760479044,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003093815.1 Paramecium bursaria Chlorella virus MA-1D, ASM309381v1",b835205218eaddda4f38b95b8e77b6c5,0.0029940119760479044,1000,24,25000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6104552188836672,0.829065462731697,0.719760340807682,0.829065462731697,True,1,431,5371437
1000,2.2660429610020804e-07,0.0038910505836575876,2.2660429610020804e-07,3.7233984127524904e-07,2.0,2.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000886195.1 Anguillid herpesvirus 1 strain=500138, ViralProj42931",259b83c09f0ce247541d0c8a850f9596,0.0038910505836575876,1000,25,24000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,0.6104552188836672,0.83610384730182,0.7232795330927435,0.83610384730182,True,2,433,5371437
1000,2.2660429610020804e-07,0.019230769230769232,2.2660429610020804e-07,1.8616992063762452e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002957575.1 Streptomyces phage Omar, ASM295757v1",7aa920a373c33ea24a62c7120b741fe4,0.019230769230769232,1000,26,23000,output_dir/fastp/PK1_2.fq.gz,PK1,a7867e85,4412979000,31,DNA,1000,4412979,True,,,,,True,1,434,5371437
