intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
22000,1.1390246945731168e-05,0.05641025641025641,1.1390246945731168e-05,3.912598815819776e-05,10.772727272727273,9.5,6.288024824883177,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902725985.1 uncultured phage, LP_PHAGE_38_17",d1040d1df4f84bf1e5b73474ad0ecfdb,0.05641025641025641,22000,0,191000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6926810826826604,0.9114256112571985,0.8020533469699294,0.9114256112571985,False,237,237,6057355
12000,6.212861970398819e-06,0.028708133971291867,6.212861970398819e-06,0.00015138620734627572,76.41666666666667,6.5,149.5222716595164,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857805.1 uncultured human fecal virus, ASM185780v1",6d148185545481a0af8705f33ddaae4d,0.028708133971291867,12000,1,179000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6792688011893985,0.8917810194677971,0.7855249103285977,0.8917810194677971,False,917,1154,6057355
10000,5.1773849753323495e-06,0.055865921787709494,5.1773849753323495e-06,1.981062691554317e-06,1.2,1.0,0.4,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002956635.1 Campylobacter phage A11a, ASM295663v1",4d6e8acadae4735629d80bae0a69ee36,0.055865921787709494,10000,2,169000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6752855150631865,0.9111405728707272,0.7932130439669569,0.9111405728707272,False,12,1166,6057355
7000,3.6241694827326445e-06,0.19444444444444448,3.6241694827326445e-06,2.542363787494707e-05,22.0,5.0,24.750180374523104,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902995725.1 freshwater metagenome, UFOv-RH-26jul17-C2870",73b7f57a266e0a5b7d14110566b36d2c,0.19444444444444448,7000,3,162000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,False,154,1320,6057355
5000,2.5886924876661747e-06,0.00015883731088432672,2.0709539901329396e-06,1.4857970186657378e-06,2.25,1.0,2.165063509461097,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002013235.1 uncultured marine virus, ASM201323v1",82c79b3b01a7cc41c7203df9ac3beb14,0.0001985466386054084,4000,4,158000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6603539639336582,0.7595847045328089,0.7099693342332336,0.7595847045328089,True,9,1329,6057355
8000,4.141907980265879e-06,0.01639344262295082,2.0709539901329396e-06,8.254427881476321e-07,1.25,1.0,0.4330127018922193,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857825.1 uncultured human fecal virus, ASM185782v1",34484b9f9af03ab9bc48c34e2c55e8c8,0.03278688524590164,4000,5,154000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6704421416466052,0.8956108783810481,0.7830265100138267,0.8956108783810481,False,5,1334,6057355
3000,1.5532154925997047e-06,0.11538461538519727,1.5532154925997047e-06,1.9480449800284116e-05,39.333333333333336,30.0,20.677416559027765,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902986355.1 freshwater metagenome, UFOv-RE-20APR16-C735",b014e29b09b149bb57362eab097f543c,0.11538461538519727,3000,6,151000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,True,118,1452,6057355
3000,1.5532154925997047e-06,0.057692307692307696,1.5532154925997047e-06,3.631948267849581e-06,7.333333333333333,6.0,2.6246692913372702,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902991725.1 freshwater metagenome, UFOv-RH-18aug17-C1241",324462738b02f9a3b1c39a764451ffd1,0.057692307692307696,3000,7,148000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,True,22,1474,6057355
3000,1.5532154925997047e-06,0.09090909090909131,1.5532154925997047e-06,4.62247961362674e-06,9.333333333333334,11.0,3.0912061651652345,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902988635.1 freshwater metagenome, UFOv-RE-4nov15-C1227",15c39292338049bc04e2f19cedc9f4f6,0.09090909090909131,3000,8,145000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,True,28,1502,6057355
3000,1.5532154925997047e-06,0.09375000000000117,1.5532154925997047e-06,8.254427881476321e-07,1.6666666666666667,2.0,0.4714045207910317,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_022516455.1 Staphylococcus phage ECel-2020c, ASM2251645v1",66aea475431a75ed6da230fbdd281abd,0.09375000000000117,3000,9,142000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,True,5,1507,6057355
3000,1.5532154925997047e-06,0.009554140127388535,1.5532154925997047e-06,6.603542305181056e-07,1.3333333333333333,1.0,0.4714045207910317,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902725325.1 uncultured phage, BML_PHAGE_34_18",ab7f63abaf955ae5079db51f84fca384,0.009554140127388535,3000,10,139000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.649561652303315,0.8606863008160035,0.7551239765596592,0.8606863008160035,True,4,1511,6057355
4000,2.0709539901329396e-06,0.00018728929953801973,1.5532154925997047e-06,3.466859710220055e-06,7.0,8.0,1.4142135623730951,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003245.1 uncultured marine virus, ASM200324v1",fdbea75a447d43a51044247ba0c84646,0.000249719066050693,3000,11,136000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6556176845923916,0.7652243208154398,0.7104210027039157,0.7652243208154398,True,21,1532,6057355
4000,2.0709539901329396e-06,6.427423674343867e-05,1.5532154925997047e-06,1.3207084610362113e-06,2.6666666666666665,3.0,1.247219128924647,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003225.1 uncultured marine virus, ASM200322v1",a701f42f5ceb5e38eaef576398ed12f2,8.56989823245849e-05,3000,12,133000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6556176845923916,0.7392743985248702,0.6974460415586309,0.7392743985248702,True,8,1540,6057355
2000,1.0354769950664698e-06,0.045454545454545456,1.0354769950664698e-06,4.952656728885792e-07,1.5,1.5,0.5,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_022604765.1 Escherichia phage Lambda imm21, ASM2260476v1",9491d4095721d13a54a01b4789b37d4b,0.045454545454545456,2000,13,131000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,True,3,1543,6057355
2000,1.0354769950664698e-06,0.04878048780487805,1.0354769950664698e-06,2.6414169220724226e-06,8.0,8.0,1.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902990845.1 freshwater metagenome, UFOv-RH-15aug16-C1549",11906f4e7a80411a359c227963475c2e,0.04878048780487805,2000,14,129000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,True,16,1559,6057355
2000,1.0354769950664698e-06,0.011764705882352941,1.0354769950664698e-06,3.301771152590528e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_016759225.1 Flavobacterium phage vB_FspM_immuto_2-6A, ASM1675922v1",494bacfff7a3146144549a63336afe30,0.011764705882352941,2000,15,127000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6411210179816792,0.8664842636120895,0.7538026407968843,0.8664842636120895,True,2,1561,6057355
2000,1.0354769950664698e-06,0.0008166598611678236,1.0354769950664698e-06,3.301771152590528e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000911955.1 Pandoravirus salinus, ViralProj215788",3682c7069f6e96231253f3b861091357,0.0008166598611678236,2000,16,125000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6411210179816792,0.7950389871858453,0.7180800025837623,0.7950389871858453,True,2,1563,6057355
2000,1.0354769950664698e-06,0.02,1.0354769950664698e-06,1.8159741339247905e-06,5.5,5.5,3.5,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902988125.1 freshwater metagenome, UFOv-RE-26jul17-C170",f0474c2fb8494367ae06b020a3904cb5,0.02,2000,17,123000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6411210179816792,0.8814435740349431,0.7612822960083112,0.8814435740349431,True,11,1574,6057355
2000,1.0354769950664698e-06,0.014705882352941176,1.0354769950664698e-06,3.301771152590528e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003328865.1 Enterococcus phage EF1, ASM332886v1",6940b26161be33dfd24087f055146339,0.014705882352941176,2000,18,121000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,0.6411210179816792,0.8727438743787362,0.7569324461802077,0.8727438743787362,True,2,1576,6057355
2000,1.0354769950664698e-06,0.05263157894736842,1.0354769950664698e-06,4.952656728885793e-06,15.0,15.0,14.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902996465.1 freshwater metagenome, UFOv-RH-9nov16-C2004",9daf440606da6a9d0336f345d605623d,0.05263157894736842,2000,19,119000,output_dir/fastp/MC1_2.fq.gz,MC1,32c640a7,1931477000,31,DNA,1000,1931477,True,,,,,True,30,1606,6057355
