intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
38000,4.194895276095312e-06,0.11377245508982035,4.194895276095312e-06,3.357012191381947e-06,2.8157894736842106,1.0,3.1776792521214094,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902729695.1 uncultured phage, BML_PHAGE_CIR_42_5",71d7710fdc616df9fd37e1be8ff47781,0.11377245508982035,38000,0,552000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.670717118858714,0.9322869065343303,0.8015020126965222,0.9322869065343303,False,107,107,31873581
36000,3.974111314195559e-06,0.0861244019138756,3.974111314195559e-06,0.0002459089865051561,217.72222222222223,7.0,664.531648402388,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857805.1 uncultured human fecal virus, ASM185780v1",6d148185545481a0af8705f33ddaae4d,0.0861244019138756,36000,1,516000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.669548338041778,0.923951623412905,0.7967499807273415,0.923951623412905,False,7838,7945,31873581
21000,2.3182315999474094e-06,0.07342657342657342,2.3182315999474094e-06,9.757297117007341e-06,14.80952380952381,14.0,5.720631397211888,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902729875.1 uncultured phage, ERM_PHAGE_CIR_34_14",15715afe7c4435d1769e2a7dde679356,0.07342657342657342,21000,2,495000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6580075325091451,0.9192097481018295,0.7886086403054873,0.9192097481018295,False,311,8256,31873581
20000,2.2078396189975327e-06,0.053763440860215055,2.2078396189975327e-06,5.208074988499096e-06,8.3,2.0,19.39871129740324,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902729795.1 uncultured phage, BML_PHAGE_CIR_41_12",402960c483c46c9acb9d83832d1294c6,0.053763440860215055,20000,3,475000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6569727246159043,0.910013781698852,0.7834932531573782,0.910013781698852,False,166,8422,31873581
13000,1.4350957523483962e-06,0.0004420866489832007,1.4350957523483962e-06,2.509915657107998e-06,6.153846153846154,2.0,8.58304369400823,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003145.1 uncultured marine virus, ASM200314v1",b7389bd607efa11f6cb82d2130f7f272,0.0004420866489832007,13000,4,462000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6479064246230795,0.7794541277329999,0.7136802761780396,0.7794541277329999,False,80,8502,31873581
13000,1.4350957523483962e-06,0.07262569832402235,1.4350957523483962e-06,5.961049685631496e-07,1.4615384615384615,1.0,0.6343239424027171,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002956635.1 Campylobacter phage A11a, ASM295663v1",4d6e8acadae4735629d80bae0a69ee36,0.07262569832402235,13000,5,449000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6479064246230795,0.9188846106986105,0.7833955176608449,0.9188846106986105,False,19,8521,31873581
12000,1.3247037713985195e-06,0.03519061583577713,1.3247037713985195e-06,6.902268057046994e-07,1.8333333333333333,1.0,1.7240134054647667,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902984985.1 freshwater metagenome, UFOv-RE-15aug16-C2",300c8fc0723868465aa80059926f22d7,0.03519061583577713,12000,6,437000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6462356733313862,0.8976572525817237,0.7719464629565549,0.8976572525817237,False,22,8543,31873581
11000,1.214311790448643e-06,0.19298245614035087,1.214311790448643e-06,2.290298037111048e-06,6.636363636363637,4.0,5.364406724338884,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902983175.1 freshwater metagenome, UFOv-Jr-11may16-C607",18576896e242ba71f6beab4c6efe4f18,0.19298245614035087,11000,7,426000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,,,,,False,73,8616,31873581
21000,2.3182315999474094e-06,0.040983606557377046,1.1039198094987663e-06,1.8196888514032985e-06,5.8,2.0,7.166589146867567,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857825.1 uncultured human fecal virus, ASM185782v1",34484b9f9af03ab9bc48c34e2c55e8c8,0.0860655737704918,10000,8,416000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6580075325091451,0.9239312581489731,0.7909693953290591,0.9239312581489731,False,58,8674,31873581
10000,1.1039198094987663e-06,0.15384615384615385,1.1039198094987663e-06,1.2235838828401491e-06,3.9,3.5,2.1656407827707715,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_903232915.1 freshwater metagenome, UFOv-RE-27jun17-C204",7221daa975ab7682094578f832d450a6,0.15384615384615385,10000,9,406000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,,,,,False,39,8713,31873581
9000,9.935278285488897e-07,0.02616279069767442,9.935278285488897e-07,4.3923523999389967e-07,1.5555555555555556,1.0,0.6849348892187752,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902729715.1 uncultured phage, BML_PHAGE_CIR-CU-GA_51_12",42dc75637b92113e2f10492930c87e5b,0.02616279069767442,9000,10,397000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6402663039930938,0.8891142084899186,0.7646902562415062,0.8891142084899186,False,14,8727,31873581
12000,1.3247037713985195e-06,0.000192822710230316,9.935278285488897e-07,1.0667141542708991e-06,3.7777777777777777,3.0,2.8588178511708016,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003225.1 uncultured marine virus, ASM200322v1",a701f42f5ceb5e38eaef576398ed12f2,0.0002570969469737547,9000,11,388000,output_dir/fastp/fP1R_2.fq.gz,fP1R,ed3c6747,9058629000,31,DNA,1000,9058629,True,0.6462356733313862,0.7659433938976297,0.7060895336145079,0.7659433938976297,False,34,8761,31873581
