intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
113000,1.2755138034862163e-05,0.6312849162011173,1.2755138034862163e-05,3.9808110255277444e-05,7.212389380530974,2.0,22.31886829347492,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002956635.1 Campylobacter phage A11a, ASM295663v1",4d6e8acadae4735629d80bae0a69ee36,0.6312849162011173,113000,0,2809000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.6952145875021335,0.9852709054148586,0.8402427464584961,0.9852709054148586,False,815,815,20473215
73000,8.240044925176442e-06,0.6952380952380952,8.240044925176442e-06,1.5825555487987597e-05,4.438356164383562,4.0,2.714680038008783,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000899335.1 Salmonella phage SSU5, ViralProj177521",dacc5de9098848ac3a1eb77f27896517,0.6952380952380952,73000,1,2736000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.6854846409342418,0.9883426439159417,0.8369136424250918,0.9883426439159417,False,324,1139,20473215
62000,6.998394320012868e-06,0.24031007751937986,6.998394320012868e-06,8.352376507549009e-06,2.7580645161290325,2.0,3.305349934482892,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_009388305.2 Aeromonas phage PS2, ASM938830v2",d9aad3e3189904418d2d29990b45ef93,0.24031007751937986,62000,2,2674000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.681882627719943,0.9550473474140561,0.8184649875669996,0.9550473474140561,False,171,1310,20473215
55000,6.208253025817867e-06,0.13157894736842105,6.208253025817867e-06,0.0007293431930451568,271.4909090909091,24.0,605.4608424460968,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857805.1 uncultured human fecal virus, ASM185780v1",6d148185545481a0af8705f33ddaae4d,0.13157894736842105,55000,3,2619000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.6792525402476182,0.9366701026595039,0.807961321453561,0.9366701026595039,False,14932,16242,20473215
44000,4.966602420654293e-06,0.22564102564102564,4.966602420654293e-06,2.7841255025163366e-06,1.2954545454545454,1.0,0.5468731552507257,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_016759175.1 Klebsiella phage vB_KpnM_M1, ASM1675917v1",eebddf29e73c7114a9ce9b074f5e946f,0.22564102564102564,44000,4,2575000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.6743807140005044,0.9531088852562062,0.8137447996283553,0.9531088852562062,False,57,16299,20473215
41000,4.627970437427864e-06,0.8367346938775511,4.627970437427864e-06,2.574094982151069e-05,12.853658536585366,10.0,20.667590955004957,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002607975.1 Aeromonas phage phiARM81mr, ASM260797v1",67901bbdf234461e05f0aa2dc11d1745,0.8367346938775511,41000,5,2534000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,,,,,False,527,16826,20473215
36000,4.063583798717149e-06,0.27692307692307694,4.063583798717149e-06,8.704055518393178e-05,49.5,21.0,88.19060796555002,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003628075.1 Escherichia virus P1, ASM362807v1",58c2c14256e48af3de5448b839960fcd,0.27692307692307694,36000,6,2498000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.6700293790601202,0.9594262252584637,0.8147278021592919,0.9594262252584637,False,1782,18608,20473215
32000,3.6120744877485772e-06,0.13445378151260504,3.6120744877485772e-06,3.6633230296267588e-06,2.34375,2.0,1.0490881457246575,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_016467505.1 Aeromonas phage Ahp1, ASM1646750v1",8e909c7229cd0869f41a6d857c4943f2,0.13445378151260504,32000,7,2466000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.6674884641841953,0.9373233851178843,0.8024059246510398,0.9373233851178843,False,75,18683,20473215
31000,3.499197160006434e-06,0.5344827586206896,3.499197160006434e-06,4.34714332849042e-06,2.870967741935484,2.0,2.2105602192273306,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_012360715.1 Aeromonas phage PS, ASM1236071v1",17e1722ed48c63b93e97eeae1a300bf9,0.5344827586206896,31000,8,2435000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,,,,,False,89,18772,20473215
28000,3.160565176780005e-06,0.10646387832699619,3.160565176780005e-06,1.5630178259740837e-06,1.1428571428571428,1.0,0.34992710611188255,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902726445.1 uncultured phage, R2_PHAGE_CIR_49_23",9f60e879fe4a5d2df1b41dfb1cd7f2f2,0.10646387832699619,28000,9,2407000,output_dir/fastp/P2WF_2.fq.gz,P2WF,1b048a65,8859175000,31,DNA,1000,8859175,True,0.6646194649604485,0.930292304603246,0.7974558847818473,0.930292304603246,False,32,18804,20473215
