intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
86000,5.907337909688481e-06,0.3333333333333333,5.907337909688481e-06,7.352144954182494e-06,3.383720930232558,2.0,4.8898770723388525,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_009388305.2 Aeromonas phage PS2, ASM938830v2",d9aad3e3189904418d2d29990b45ef93,0.3333333333333333,86000,0,2582000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6781647621180301,0.9651815061201194,0.8216731341190748,0.9651815061201194,False,291,291,39580286
50000,3.434498784702605e-06,0.11961722488038277,3.434498784702605e-06,0.00010707350623994986,84.76,12.5,184.77646603396224,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857805.1 uncultured human fecal virus, ASM185780v1",6d148185545481a0af8705f33ddaae4d,0.11961722488038277,50000,1,2532000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6664038968363885,0.9337947123787271,0.8000993046075577,0.9337947123787271,False,4238,4529,39580286
45000,3.0910489062323444e-06,0.25862068965517243,3.0910489062323444e-06,1.5917014849261069e-06,1.4,1.0,0.7717224601860151,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_017347895.1 Aeromonas phage vB_AsM_ZHF, ASM1734789v1",319e2396027f54c35b8dac4ad90402c7,0.25862068965517243,45000,2,2487000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6641428169504879,0.9573123325269656,0.8107275747387268,0.9573123325269656,False,63,4592,39580286
38000,2.6102190763739796e-06,0.20105820105820105,2.6102190763739796e-06,1.616966587861442e-06,1.6842105263157894,1.0,0.8616160812497318,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_013348645.1 Escherichia virus TH57, ASM1334864v1",6d2da72a7c915db697b827f512d0af1c,0.20105820105820105,38000,3,2449000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6605303922807777,0.9495689593378488,0.8050496758093133,0.9495689593378488,False,64,4656,39580286
38000,2.6102190763739796e-06,0.7755102040816326,2.6102190763739796e-06,1.556330340816638e-05,16.210526315789473,10.0,34.9482006876168,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002607975.1 Aeromonas phage phiARM81mr, ASM260797v1",67901bbdf234461e05f0aa2dc11d1745,0.7755102040816326,38000,4,2411000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,616,5272,39580286
36000,2.4728391249858755e-06,0.13688212927756654,2.4728391249858755e-06,1.2632551467667516e-06,1.3888888888888888,1.0,0.6781419786518723,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902726445.1 uncultured phage, R2_PHAGE_CIR_49_23",9f60e879fe4a5d2df1b41dfb1cd7f2f2,0.13688212927756654,36000,5,2375000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6593793626890257,0.9378647603028223,0.7986220614959241,0.9378647603028223,False,50,5322,39580286
36000,2.4728391249858755e-06,0.14814814814814814,2.4728391249858755e-06,1.1116645291547413e-06,1.2222222222222223,1.0,0.41573970964154905,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000920195.1 Aeromonas phage PX29, ViralProj240747",7dc2b97de1aacb561b67f3008c713def,0.14814814814814814,36000,6,2339000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6593793626890257,0.9402606590285633,0.7998200108587945,0.9402606590285633,False,44,5366,39580286
35000,2.4041491492918235e-06,0.09138381201044386,2.4041491492918235e-06,1.0106041174134011e-06,1.1428571428571428,1.0,0.3499271061118826,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_004146585.1 Escherichia phage Ecwhy_1, ASM414658v1",a8ee1912ceea427ee868e98bfe63492d,0.09138381201044386,35000,7,2304000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6587804318045469,0.925720015357985,0.792250223581266,0.925720015357985,False,40,5406,39580286
33000,2.2667691979037194e-06,0.5689655172413793,2.2667691979037194e-06,6.0383596015450724e-06,7.242424242424242,6.0,5.421787153811047,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_012360715.1 Aeromonas phage PS, ASM1236071v1",17e1722ed48c63b93e97eeae1a300bf9,0.5689655172413793,33000,8,2271000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,239,5645,39580286
40000,2.747599027762084e-06,0.13304721030042918,2.1293892465156153e-06,1.718026999602782e-06,2.193548387096774,2.0,1.2806085962115619,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_021497835.1 Aeromonas phage pAEv1810, ASM2149783v1",2c3ff33b091ee2879e9746b8d8db9bc4,0.17167381974248927,31000,9,2240000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6616242253542577,0.9447415899301341,0.8031829076421959,0.9447415899301341,False,68,5713,39580286
27000,1.8546293437394066e-06,0.5,1.8546293437394066e-06,1.2632551467667516e-06,1.8518518518518519,2.0,0.8478165290562666,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_010703025.1 Pseudomonas phage Pa-L, ASM1070302v1",c5f12adf9f2ecdc9d1aa7ace23f6964b,0.5,27000,10,2213000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,50,5763,39580286
27000,1.8546293437394066e-06,0.1534090909090909,1.8546293437394066e-06,8.33748396866056e-07,1.2222222222222223,1.0,0.628539361054709,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_008220585.1 Klebsiella phage KOX10, ASM822058v1",e40503bfd37bc766d4c0d8b6da9fde01,0.1534090909090909,27000,11,2186000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6532885832530224,0.9413196662174274,0.7973041247352248,0.9413196662174274,False,33,5796,39580286
25000,1.7172493923513025e-06,0.22935779816513763,1.7172493923513025e-06,8.33748396866056e-07,1.32,1.0,0.5455272678794342,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_015161245.1 crAssphage cr124_1, ASM1516124v1",7d39f831f9d46fab7c845397b2f178fa,0.22935779816513763,25000,12,2161000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6516687312855647,0.9536113326940864,0.8026400319898255,0.9536113326940864,False,33,5829,39580286
25000,1.7172493923513025e-06,0.19230769230769232,1.7172493923513025e-06,3.0570774551755387e-06,4.84,2.0,5.511297487887947,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003628075.1 Escherichia virus P1, ASM362807v1",58c2c14256e48af3de5448b839960fcd,0.19230769230769232,25000,13,2136000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6516687312855647,0.9482069144938485,0.7999378228897066,0.9482069144938485,False,121,5950,39580286
24000,1.6485594166572505e-06,0.32,1.6485594166572505e-06,3.233933175722884e-06,5.333333333333333,3.5,4.346134936801766,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000882935.1 Silicibacter phage DSS3phi2 strain=DSS3P2, ViralProj38081",fedc99999d3dc7bc6a5a9a5a1195bc0f,0.32,24000,14,2112000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,128,6078,39580286
24000,1.6485594166572505e-06,0.4528301886792453,1.6485594166572505e-06,2.577040499404173e-06,4.25,1.0,6.118619125260208,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002955025.1 Pseudomonas phage JG012, ASM295502v1",ae770f56d26d150e800f91104cedc3ec,0.4528301886792453,24000,15,2088000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,102,6180,39580286
23000,1.5798694409631982e-06,0.4791666666666667,1.5798694409631982e-06,1.3390504555727567e-06,2.3043478260869565,2.0,1.5161387629706689,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_021351835.1 Stenotrophomonas phage vB_SM_ytsc_ply2008005c, ASM2135183v1",e7e5c20328663cb0afdfd413a0ef7f12,0.4791666666666667,23000,16,2065000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,53,6233,39580286
22000,1.5111794652691462e-06,0.3235294117647059,1.5111794652691462e-06,1.3390504555727567e-06,2.409090909090909,2.0,1.6694879702006324,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_021354915.1 Pectobacterium phage Arno152, ASM2135491v1",a66b1afa6a34c84a0079aab02492778d,0.3235294117647059,22000,17,2043000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,53,6286,39580286
21000,1.4424894895750941e-06,0.4883720930232558,1.4424894895750941e-06,2.400184778856828e-06,4.523809523809524,4.0,3.698378635990019,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003143235.1 Aeromonas phage 62AhydR11PP, ASM314323v1",c9bbcef3ae1467775aa32a3bb1bc9c9d,0.4883720930232558,21000,18,2022000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,95,6381,39580286
21000,1.4424894895750941e-06,0.5121951219512195,1.4424894895750941e-06,8.89331623323793e-06,16.761904761904763,6.0,23.975989501214713,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_022401845.1 Aeromonas phage phiA005, ASM2240184v1",751399ebb2615b5601ea3a30ee60199e,0.5121951219512195,21000,19,2001000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,352,6733,39580286
21000,1.4424894895750941e-06,0.11731843575418995,1.4424894895750941e-06,9.853390144780662e-07,1.8571428571428572,1.0,2.188404817728773,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002956635.1 Campylobacter phage A11a, ASM295663v1",4d6e8acadae4735629d80bae0a69ee36,0.11731843575418995,21000,20,1980000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6480138367595886,0.9332103716955196,0.790612104227554,0.9332103716955196,False,39,6772,39580286
19000,1.3051095381869898e-06,0.16101694915254236,1.3051095381869898e-06,9.853390144780662e-07,2.0526315789473686,1.0,1.986101290959285,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_022401855.1 Aeromonas phage phiA009, ASM2240185v1",9086df45c58594a3be4a3b7793c7dc8c,0.16101694915254236,19000,21,1961000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.645925098512519,0.942790532517628,0.7943578155150735,0.942790532517628,False,39,6811,39580286
20000,1.373799513881042e-06,0.37254901960784315,1.3051095381869898e-06,5.179346101743681e-06,10.789473684210526,5.0,16.015055243733432,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002618245.1 Aeromonas phage 51, ASM261824v1",270a82675b02f558ec580b6c26cbb51e,0.39215686274509803,19000,22,1942000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,205,7016,39580286
19000,1.3051095381869898e-06,0.18446601941747573,1.3051095381869898e-06,1.0863994262194062e-06,2.263157894736842,2.0,1.5506231434374984,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003044105.1 Aeromonas phage AhSzw-1, ASM304410v1",5ea76eb300e521ab192d536ffd7db19e,0.18446601941747573,19000,23,1923000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.645925098512519,0.9469343767200146,0.7964297376162668,0.9469343767200146,False,43,7059,39580286
44000,3.0223589305382924e-06,0.1125,1.2364195624929378e-06,6.568926763187108e-07,1.4444444444444444,1.0,1.3833221775543036,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000901975.1 Aeromonas phage Aes508, ViralProj181986",8e0487f1749fe5ec6213c7908c1a62f1,0.275,18000,24,1905000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6636615338139125,0.959210574527188,0.8114360541705503,0.959210574527188,False,26,7085,39580286
18000,1.2364195624929378e-06,0.11842105263157894,1.2364195624929378e-06,6.063624704480408e-07,1.3333333333333333,1.0,0.5773502691896257,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003991685.1 Lactobacillus phage Lpa804, ASM399168v1",5acb99992e3f0032993fc2edea1aa62f,0.11842105263157894,18000,25,1887000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6447995198697619,0.9334920211103082,0.7891457704900351,0.9334920211103082,False,24,7109,39580286
18000,1.2364195624929378e-06,0.3673469387755102,1.2364195624929378e-06,3.6381748226882444e-06,8.0,6.5,6.920179830675565,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002957245.1 Pectinobacterium phage PEAT2, ASM295724v1",4d9ccdb7ebc91f0369272e399c6e34b0,0.3673469387755102,18000,26,1869000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,144,7253,39580286
17000,1.1677295867988857e-06,0.32075471698113206,1.1677295867988857e-06,7.832181909953859e-07,1.8235294117647058,1.0,1.1496953109230625,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_021355465.1 Yersinia phage PYps23T, ASM2135546v1",29cdd117562b9d352c1a6408c7a7341d,0.32075471698113206,17000,27,1852000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,31,7284,39580286
18000,1.2364195624929378e-06,0.14166666666666666,1.1677295867988857e-06,7.579530880600509e-07,1.7647058823529411,2.0,0.7299808027053445,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_022401875.1 Aeromonas phage phiA047, ASM2240187v1",374b5cc5c67da4448618630f48b3dd81,0.15,17000,28,1835000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6447995198697619,0.9406375218504108,0.7927185208600864,0.9406375218504108,False,30,7314,39580286
19000,1.3051095381869898e-06,0.35555555555555557,1.0990396111048337e-06,1.8696176172147922e-06,4.625,3.0,5.91475908216049,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_008952145.1 Aeromonas phage 4_L372X, ASM895214v1",6e0f728c4b88689637d767bb3d22b21a,0.4222222222222222,16000,29,1819000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,74,7388,39580286
15000,1.0303496354107816e-06,0.2830188679245283,1.0303496354107816e-06,7.832181909953859e-07,2.066666666666667,2.0,1.339983416149452,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_021497745.1 Aeromonas phage phiA008, ASM2149774v1",117b5ead449bfa36887fbae112f620c2,0.2830188679245283,15000,30,1804000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,31,7419,39580286
21000,1.4424894895750941e-06,0.20833333333333334,1.0303496354107816e-06,1.1874598379607464e-06,3.1333333333333333,2.0,2.7292652653944964,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000881335.1 Sulfitobacter phage EE36phi1 strain=EE36P1, ViralProj38079",c58f9dfe31ee12c2228017334481ab9d,0.2916666666666667,15000,31,1789000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,47,7466,39580286
15000,1.0303496354107816e-06,0.06302521008403361,1.0303496354107816e-06,6.821577792540458e-07,1.8,1.0,1.2220201853215575,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_016467505.1 Aeromonas phage Ahp1, ASM1646750v1",8e909c7229cd0869f41a6d857c4943f2,0.06302521008403361,15000,32,1774000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6410183643431308,0.9146915244097439,0.7778549443764373,0.9146915244097439,False,27,7493,39580286
30000,2.0606992708215632e-06,0.07865168539325842,9.616596597167293e-07,5.053020587067006e-07,1.4285714285714286,1.0,0.9035079029052513,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001505955.1 Escherichia phage vB_EcoM_VR26, ViralProj307965",a76bcea7aa82dc3b87e37b90f3250466,0.16853932584269662,14000,33,1760000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,0.6555127098077059,0.9441801789627986,0.7998464443852522,0.9441801789627986,False,20,7513,39580286
14000,9.616596597167293e-07,0.37837837837837845,9.616596597167293e-07,9.095437056720611e-07,2.5714285714285716,2.0,1.6781914463529615,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_020492425.1 Rhodobacter phage RcKemmy, ASM2049242v1",8c1d64d16c2ca9bd725b3a7ec1a0bfc3,0.37837837837837845,14000,34,1746000,output_dir/fastp/sP2R_2.fq.gz,sP2R,2c0483c2,14558165000,31,DNA,1000,14558165,True,,,,,False,36,7549,39580286
