intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
26000,5.134198063933404e-06,0.06220095693779904,5.134198063933404e-06,0.0002041747971520895,220.30769230769232,17.5,468.53821527341563,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857805.1 uncultured human fecal virus, ASM185780v1",6d148185545481a0af8705f33ddaae4d,0.06220095693779904,26000,0,74000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,0.6751030723996589,0.9143031750939777,0.7947031237468183,0.9143031750939777,False,5728,5728,28054393
11000,2.17216071935644e-06,0.1746031746031746,2.17216071935644e-06,1.9604772771237644e-06,5.0,4.0,4.47213595499958,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002602905.1 Acidithiobacillus phage AcaML1, ASM260290v1",b1fdb85795e241bbbbf0e1c0fe2dd309,0.1746031746031746,11000,1,63000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,,,,,False,55,5783,28054393
5000,9.873457815256547e-07,0.027932960893854747,9.873457815256547e-07,2.1387024841350157e-07,1.2,1.0,0.4,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002956635.1 Campylobacter phage A11a, ASM295663v1",4d6e8acadae4735629d80bae0a69ee36,0.027932960893854747,5000,2,58000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,0.6401374012453979,0.8909939212003831,0.7655656612228905,0.8909939212003831,True,6,5789,28054393
11000,2.17216071935644e-06,0.01639344262295082,7.898766252205237e-07,1.3188665318832597e-05,92.5,14.0,143.86365072526138,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857825.1 uncultured human fecal virus, ASM185782v1",34484b9f9af03ab9bc48c34e2c55e8c8,0.045081967213114756,4000,3,54000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,0.6566275423793694,0.9048586395682778,0.7807430909738236,0.9048586395682778,False,370,6159,28054393
3000,5.924074689153928e-07,0.0001257387149503332,5.924074689153928e-07,9.980611592630074e-07,9.333333333333334,3.0,8.956685895029603,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003165.1 uncultured marine virus, ASM200316v1",ebbedbb39603c34982423f706f6a4527,0.0001257387149503332,3000,4,51000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,0.629675493393244,0.7484734850705623,0.6890744892319032,0.7484734850705623,True,28,6187,28054393
2000,3.9493831261026186e-07,0.046511627906976744,3.9493831261026186e-07,7.129008280450053e-08,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_004400585.1 Pseudomonas phage vB_Pae_CF121c, ASM440058v1",5622fad59694f55aaab02d1dd5a2a9f2,0.046511627906976744,2000,5,49000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,,,,,True,2,6189,28054393
3000,5.924074689153928e-07,6.80133306128001e-05,3.9493831261026186e-07,2.1387024841350157e-07,3.0,3.0,1.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003145.1 uncultured marine virus, ASM200314v1",b7389bd607efa11f6cb82d2130f7f272,0.00010201999591920016,2000,6,47000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,0.629675493393244,0.7434434045374397,0.6865594489653419,0.7434434045374397,True,6,6195,28054393
3000,5.924074689153928e-07,0.0003120611639881417,3.9493831261026186e-07,7.129008280450053e-08,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002003125.1 uncultured marine virus, ASM200312v1",506eed10e7cf0e380b4c360e7b83ad19,0.00046809174598221254,2000,7,45000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,0.629675493393244,0.7808926264465812,0.7052840599199126,0.7808926264465812,True,2,6197,28054393
2000,3.9493831261026186e-07,0.021052631578947368,3.9493831261026186e-07,7.129008280450053e-08,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_013317205.1 Escherichia phage CMS-2020a, ASM1331720v1",d60aa0d6b26a29892e0077a4bb3ae8e9,0.021052631578947368,2000,8,43000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,0.6214932668683535,0.8829032375795025,0.752198252223928,0.8829032375795025,True,2,6199,28054393
2000,3.9493831261026186e-07,0.044444444444444446,3.9493831261026186e-07,1.0693512420675079e-07,1.5,1.5,0.5,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002758635.1 Escherichia phage DE3, ASM275863v1",0b2da1ace25ce26f45a290a4bf80cbf6,0.044444444444444446,2000,9,41000,output_dir/fastp/P4S1_2.fq.gz,P4S1,12b6f5bb,5064082000,31,DNA,1000,5064082,True,,,,,True,3,6202,28054393
