intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
21000,4.495984122753213e-06,0.050239234449760764,4.495984122753213e-06,0.00012737278519442483,55.19047619047619,2.0,166.78089962800183,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857805.1 uncultured human fecal virus, ASM185780v1",6d148185545481a0af8705f33ddaae4d,0.050239234449760764,21000,0,79000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,0.6722185247348251,0.908025744127542,0.7901221344311835,0.908025744127542,False,1159,1159,9099275
6000,1.2845668922152035e-06,0.010619469026548672,1.2845668922152035e-06,6.59393193413761e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_003814025.1 Barrevirus sp., ASM381402v1",3420cd27f67e11aeddda7b956d4e7e5b,0.010619469026548672,6000,1,73000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,0.645594607753226,0.8636263744310331,0.7546104910921295,0.8636263744310331,True,6,1165,9099275
3000,6.422834461076017e-07,0.08333333333333336,6.422834461076017e-07,3.296965967068805e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_013089255.1 uncultured human fecal virus, ASM1308925v1",ea92f8158988925aec7bd98e77c55b30,0.08333333333333336,3000,2,70000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,,,,,True,3,1168,9099275
3000,6.422834461076017e-07,0.033707865168539325,6.422834461076017e-07,3.296965967068805e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_016918265.1 Phage FAKO05_000032F, ASM1691826v1",ef309f32d8ad5a952ec836ed5df6e495,0.033707865168539325,3000,3,67000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,,,,,True,3,1171,9099275
3000,6.422834461076017e-07,0.01675977653631285,6.422834461076017e-07,3.296965967068805e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_002956635.1 Campylobacter phage A11a, ASM295663v1",4d6e8acadae4735629d80bae0a69ee36,0.01675977653631285,3000,4,64000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,0.6313195660418499,0.8764322094767869,0.7538758877593184,0.8764322094767869,True,3,1174,9099275
10000,2.1409448203586724e-06,0.012295081967213115,6.422834461076017e-07,5.494943278448009e-07,1.6666666666666667,2.0,0.4714045207910317,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_001857825.1 uncultured human fecal virus, ASM185782v1",34484b9f9af03ab9bc48c34e2c55e8c8,0.040983606557377046,3000,5,61000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,0.6563210078863553,0.902080904130471,0.7792009560084132,0.902080904130471,False,5,1179,9099275
3000,6.422834461076017e-07,0.06818181818181818,6.422834461076017e-07,3.296965967068805e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_013088855.1 uncultured human fecal virus, ASM1308885v1",e70ebd2c2d018b897db9d195a658f091,0.06818181818181818,3000,6,58000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,,,,,True,3,1182,9099275
2000,4.281889640717345e-07,0.0425531914893617,4.281889640717345e-07,4.3959546227584067e-07,2.0,2.0,1.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_902994135.1 freshwater metagenome, UFOv-RH-23may17-C4848",f615f45afba3051e9b7e982c6e2eee2f,0.0425531914893617,2000,7,56000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,,,,,True,4,1186,9099275
2000,4.281889640717345e-07,0.025974025974025976,4.281889640717345e-07,2.1979773113792033e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_021090335.1 CrAss-like virus sp. strain=cr13_1, ASM2109033v1",172d4da21dfffb8c262c610ebb3df6f8,0.025974025974025976,2000,8,54000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,,,,,True,2,1188,9099275
2000,4.281889640717345e-07,0.0008166598611678236,4.281889640717345e-07,2.1979773113792033e-07,1.0,1.0,0.0,/ceph/db/sourmash/genbank-2022.03-viral-k31.zip,"GCA_000911955.1 Pandoravirus salinus, ViralProj215788",3682c7069f6e96231253f3b861091357,0.0008166598611678236,2000,9,52000,output_dir/fastp/MG1_2.fq.gz,MG1,5e25f82a,4670835000,31,DNA,1000,4670835,True,0.6231159758542864,0.7950389871858453,0.7090774815200658,0.7950389871858453,True,2,1190,9099275
